ContingencyType,Outage,Secure,Converged,LineOverloads,TrafoOverloads,VoltageViolations,MaxLineLoading_%
Line,NE_L1,Yes,Yes,0,0,0,59.53102365848895
Line,NE_L2,Yes,Yes,0,0,0,59.53102365848895
Line,NE_L3,Yes,Yes,0,0,0,59.53102365848895
Line,NE_L4,Yes,Yes,0,0,0,59.53102365848895
Line,NE_L5,Yes,Yes,0,0,0,59.53102365848895
Line,NW-NE_L1,Yes,Yes,0,0,0,59.53102365848895
Line,NW-NE_L2,Yes,Yes,0,0,0,59.53102365848895
Line,NW-NE_L3,Yes,Yes,0,0,0,59.53102365848895
Line,NW-NE_L4,Yes,Yes,0,0,0,59.53102365848895
Line,NW_L1,Yes,Yes,0,0,0,59.53102365848895
Line,NW_L2,Yes,Yes,0,0,0,59.53102365848895
Line,NW_L3,Yes,Yes,0,0,0,59.53102365848895
Line,NE-SE_L1,Yes,Yes,0,0,0,59.53102365848895
Line,NE-SE_L2,Yes,Yes,0,0,0,59.53102365848895
Line,SE_L1,Yes,Yes,0,0,0,59.53102365848895
Line,SE_L2,Yes,Yes,0,0,0,59.53102365848895
Line,SE_L3,Yes,Yes,0,0,0,59.53102365848895
Line,NE-SW_L1,Yes,Yes,0,0,0,59.53102365848895
Line,NW-SW_L1,Yes,Yes,0,0,0,59.53102365848895
Line,NW-SW_L2,Yes,Yes,0,0,0,59.53102365848895
Line,SW_L1,Yes,Yes,0,0,0,59.53102365848895
Line,SW_L2,Yes,Yes,0,0,0,59.53102365848895
Line,SW_L3,Yes,Yes,0,0,0,59.53102365848895
Line,SW_L4,Yes,Yes,0,0,0,59.53102365848895
Line,SW_L5,Yes,Yes,0,0,0,59.53102365848895
Transformer,NE_Trf_G1,Yes,Yes,0,0,0,59.53102365848895
Transformer,NE_Trf_G2,Yes,Yes,0,0,0,59.53102365848895
Transformer,NE_Trf_Wind_1,Yes,Yes,0,0,0,59.53102365848895
Transformer,NE_Trf_G7,Yes,Yes,0,0,0,59.53102365848895
Transformer,NE_Trf_G8,Yes,Yes,0,0,0,59.53102365848895
Transformer,NW_Trf_G5,Yes,Yes,0,0,0,59.53102365848895
Transformer,NW_Trf_G6,Yes,Yes,0,0,0,59.53102365848895
Transformer,NW_Trf_PV1,Yes,Yes,0,0,0,59.53102365848895
Transformer,SE_Trf_G1,Yes,Yes,0,0,0,59.53102365848895
Transformer,SE_Trf_G2,Yes,Yes,0,0,0,59.53102365848895
Transformer,SE_Trf_PV1,Yes,Yes,0,0,0,59.53102365848895
Transformer,SE_Trf_G5,Yes,Yes,0,0,0,59.53102365848895
Transformer,SE_Trf_G6,Yes,Yes,0,0,0,59.53102365848895
Transformer,SW_Trf_G1,Yes,Yes,0,0,0,59.53102365848895
Transformer,SW_Trf_G2,Yes,Yes,0,0,0,59.53102365848895
Transformer,SW_Trf_G3,Yes,Yes,0,0,0,59.53102365848895
Transformer,SW_Trf_G4,Yes,Yes,0,0,0,59.53102365848895
Transformer,SW_Trf_Wind1,Yes,Yes,0,0,0,59.53102365848895
Transformer,SW_Trf_Wind2,Yes,Yes,0,0,0,59.53102365848895
Transformer,SW_Trf_G5,Yes,Yes,0,0,0,59.53102365848895
Transformer,SW_Trf_G6,Yes,Yes,0,0,0,59.53102365848895
Transformer,SW_Trf_PV12,Yes,Yes,0,0,0,59.53102365848895
Transformer,SW_Trf_PV34,Yes,Yes,0,0,0,59.53102365848895
Transformer,SW_Trf_G7,Yes,Yes,0,0,0,59.53102365848895
Transformer,SW_Trf_G8,Yes,Yes,0,0,0,59.53102365848895
Generator,NE_G1,Yes,Yes,0,0,0,59.53102365848895
Generator,NE_G2,Yes,Yes,0,0,0,59.53102365848895
Generator,NE_G7,Yes,Yes,0,0,0,59.53102365848895
Generator,NE_G8,Yes,Yes,0,0,0,59.53102365848895
Generator,NW_G5,Yes,Yes,0,0,0,59.53102365848895
Generator,NW_G6,Yes,Yes,0,0,0,59.53102365848895
Generator,SE_G1,Yes,Yes,0,0,0,59.53102365848895
Generator,SE_G2,Yes,Yes,0,0,0,59.53102365848895
Generator,SE_G5,Yes,Yes,0,0,0,59.53102365848895
Generator,SE_G6,Yes,Yes,0,0,0,59.53102365848895
Generator,SW_G1,Yes,Yes,0,0,0,59.53102365848895
Generator,SW_G2,Yes,Yes,0,0,0,59.53102365848895
Generator,SW_G3,Yes,Yes,0,0,0,59.53102365848895
Generator,SW_G4,Yes,Yes,0,0,0,59.53102365848895
Generator,SW_G5,Yes,Yes,0,0,0,59.53102365848895
Generator,SW_G6,Yes,Yes,0,0,0,59.53102365848895
Generator,SW_G7,Yes,Yes,0,0,0,59.53102365848895
Generator,SW_G8,Yes,Yes,0,0,0,59.53102365848895
