ContingencyType1,Outage1,ContingencyType2,Outage2,Secure,Converged,LineOverloads,TrafoOverloads,VoltageViolations,MaxLineLoading_%
Line,NE_L1,Line,NE_L2,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Line,NE_L3,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Line,NE_L4,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Line,NE_L5,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Line,NW-NE_L1,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Line,NW-NE_L2,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Line,NW-NE_L3,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Line,NW-NE_L4,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Line,NW_L1,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Line,NW_L2,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Line,NW_L3,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Line,NE-SE_L1,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Line,NE-SE_L2,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Line,SE_L1,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Line,SE_L2,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Line,SE_L3,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Line,NE-SW_L1,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Line,NW-SW_L1,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Line,NW-SW_L2,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Line,SW_L1,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Line,SW_L2,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Line,SW_L3,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Line,SW_L4,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Line,SW_L5,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Transformer,NE_Trf_G1,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Transformer,NE_Trf_G2,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Transformer,NE_Trf_Wind_1,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Transformer,NE_Trf_G7,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Transformer,NE_Trf_G8,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Transformer,NW_Trf_G5,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Transformer,NW_Trf_G6,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Transformer,NW_Trf_PV1,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Transformer,SE_Trf_G1,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Transformer,SE_Trf_G2,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Transformer,SE_Trf_PV1,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Transformer,SE_Trf_G5,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Transformer,SE_Trf_G6,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Transformer,SW_Trf_G1,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Transformer,SW_Trf_G2,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Transformer,SW_Trf_G3,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Transformer,SW_Trf_G4,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Transformer,SW_Trf_Wind1,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Transformer,SW_Trf_Wind2,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Transformer,SW_Trf_G5,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Transformer,SW_Trf_G6,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Transformer,SW_Trf_PV12,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Transformer,SW_Trf_PV34,No,Yes,1,0,4,104.43699965274509
Line,NE_L1,Transformer,SW_Trf_G7,No,Yes,1,0,4,104.43699965274509
